FACTORY_NAME,PRODUCT_NAME,PRODUCT_TYPE,LOT,DEFECT_DATE,DEFECT_TYPE,DEFECT_RATE
공장 C,MLCC_05,C0G,ef797f95-f076-41a1-88b2-62de68cafbcf,2025-09-28,크랙,0.1866
공장 C,MLCC_05,C0G,76d92b7f-cd28-4837-948b-545aceb3a375,2025-09-18,크랙,0.0339
공장 C,MLCC_05,X5R,16205da0-38bb-46bc-a554-ce98fc7d6ddd,2025-09-28,크랙,0.155
공장 C,MLCC_05,X5R,2981e7fa-a627-45f2-b09d-e2bae5646a23,2025-09-19,크랙,0.0284
공장 A,MLCC_05,X7R,6c312cc7-76ba-43a7-9fe3-d8b0ffde107c,2025-09-27,전극손상,0.1528
공장 A,MLCC_05,X7R,01e45343-f47e-480a-9e63-b8a025ff0ac7,2025-09-20,전극손상,0.0389
공장 B,MLCC_05,X5R,3eac8b37-9483-4ea0-82d3-fac98b2e17b1,2025-09-27,전극손상,0.1591
공장 B,MLCC_05,X5R,e3296820-6733-4c59-90c6-5072f45fd740,2025-09-20,전극손상,0.0173
공장 B,MLCC_05,X5R,f017e5bc-0cad-4185-b492-aceb29d27e1c,2025-09-26,크랙,0.1716
공장 B,MLCC_05,X5R,e36cbdb9-5568-42a1-984f-d4a290b2fcd5,2025-09-23,크랙,0.0216
공장 C,MLCC_05,X7R,273cab13-a3bc-4caf-ae51-4104672ae5d3,2025-09-27,전극손상,0.1523
공장 C,MLCC_05,X7R,df030f03-2143-40e6-ba42-3c3cef173755,2025-09-21,전극손상,0.049
공장 C,MLCC_05,X5R,19a74bd1-37a8-492a-a945-e899d68e5d9b,2025-09-27,전극손상,0.1893
공장 C,MLCC_05,X5R,10a4fe29-238f-434a-8e3d-d92166ccabd5,2025-09-15,전극손상,0.018
공장 C,MLCC_05,C0G,5621e4e0-fff1-43be-b581-2da98d182cb0,2025-09-26,크랙,0.193
공장 C,MLCC_05,C0G,4c5b7398-8377-4da6-a0a2-74512b4b1001,2025-09-20,크랙,0.0372
공장 A,MLCC_05,X7R,e06f7a8c-54b2-4e9b-b495-c075bf348edf,2025-09-28,전극손상,0.1974
공장 A,MLCC_05,X7R,7123da57-39d3-463d-b8b8-685796030feb,2025-09-15,전극손상,0.0486
공장 B,MLCC_05,X5R,50ef70e9-52bb-4bb1-87f7-43a210dc1506,2025-09-26,크랙,0.1508
공장 B,MLCC_05,X5R,21f8cf94-a20d-43ad-8484-405a4050d78f,2025-09-23,크랙,0.0192
공장 C,MLCC_05,X7R,db904238-edd8-487f-a463-f76061daa96f,2025-09-27,전극손상,0.1748
공장 C,MLCC_05,X7R,0588cc01-8fec-492e-b733-54372c03400d,2025-09-22,전극손상,0.0114
공장 B,MLCC_05,C0G,d0a92367-63f1-4578-892f-da96556585ac,2025-09-27,전극손상,0.1591
공장 B,MLCC_05,C0G,44412571-0795-43f5-922f-d1bb3af1767a,2025-09-23,전극손상,0.0402
공장 B,MLCC_05,X5R,f00e644e-8ae8-474c-8fde-74391ed8dcff,2025-09-28,전극손상,0.1773
공장 B,MLCC_05,X5R,daaf5bb3-e630-4e1e-a8fb-e3d06a2da5e6,2025-09-18,전극손상,0.0174
공장 C,MLCC_05,X5R,d7ce8bec-9f7b-4ea4-9f1d-32be4adc4140,2025-09-28,전극손상,0.1725
공장 C,MLCC_05,X5R,cf7b6946-b247-4911-ac0a-e442fc1e778b,2025-09-19,전극손상,0.0258
공장 B,MLCC_05,X7R,d2f3588a-d7ba-4fee-b3cd-37cd0e3e9ac2,2025-09-28,전극손상,0.1663
공장 B,MLCC_05,X7R,fa53ef2a-a3d8-480d-a901-2bfdd7795268,2025-09-18,전극손상,0.0328
공장 A,MLCC_05,X5R,333d6af5-a2fa-4dea-b665-50f16b9b9e37,2025-09-26,전극손상,0.1922
공장 A,MLCC_05,X5R,99983dbc-db28-4bbd-810e-5a57e2b474c5,2025-09-16,전극손상,0.0399
공장 C,MLCC_05,C0G,d8b932e5-1891-4cca-9e7a-0a6a131f4101,2025-09-27,전극손상,0.1678
공장 C,MLCC_05,C0G,aa4a1455-e42d-41d4-bcc5-38f63514358b,2025-09-21,전극손상,0.0212
공장 A,MLCC_05,C0G,68d7ef30-e5d3-4ded-b429-37ee1183fbe2,2025-09-28,크랙,0.1901
공장 A,MLCC_05,C0G,3d8200cd-abc2-4d0d-98a3-6e68f84d4ecf,2025-09-16,크랙,0.013
공장 C,MLCC_05,C0G,e6403327-3d99-44c8-b9d4-95b099d0b137,2025-09-27,전극손상,0.1697
공장 C,MLCC_05,C0G,f8a71fd1-b38e-4b37-ba24-5739bc4502d9,2025-09-23,전극손상,0.0217
공장 C,MLCC_05,X7R,875106cf-1833-4b4a-b750-f3f013bc427c,2025-09-27,크랙,0.1853
공장 C,MLCC_05,X7R,bae01b95-39d7-4202-9e04-d19af58f7500,2025-09-19,크랙,0.0392
공장 A,MLCC_05,X7R,c8db0e00-3f1d-48ce-9c9b-2d66ac8388af,2025-09-28,크랙,0.1963
공장 A,MLCC_05,X7R,4f3a36a3-1963-4d07-896c-b10e57115ed2,2025-09-17,크랙,0.036
공장 C,MLCC_05,C0G,15f65135-24c9-4ce3-8b87-c7c10bbc5d4d,2025-09-27,전극손상,0.1725
