basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20251125,900110,HK0000057197,이스트아시아홀딩스,KOSDAQ,1125,-22,-1.92,1150,1170,1121,91868,104749985,26286743,29572585875
20251125,900270,HK0000214814,헝셩그룹,KOSDAQ,203,2,1,201,203,201,1028308,207819956,188047040,38173549120
20251125,900260,HK0000295359,로스웰,KOSDAQ,910,-12,-1.3,904,943,904,22982,21023993,46029706,41887032460
20251125,900290,HK0000307485,GRT,KOSDAQ,2655,-65,-2.39,2730,2735,2655,62284,167677242,80850000,214656750000
20251125,900300,HK0000312568,오가닉티코스메틱,KOSDAQ,340,-2,-.58,342,347,337,1014601,345721772,196002224,66640756160
20251125,900310,HK0000341732,컬러레이,KOSDAQ,580,-10,-1.69,589,593,575,115819,67334311,64041675,37144171500
20251125,900340,HK0000449303,윙입푸드,KOSDAQ,841,-2,-.24,843,859,835,151420,127291374,50330928,42328310448
20251125,000020,KR7000020008,동화약품,KOSPI,6090,-20,-.33,6120,6180,6080,30786,188601630,27931470,170102652300
20251125,000040,KR7000040006,KR모터스,KOSPI,455,-9,-1.94,464,468,455,89243,41050147,86375184,39300708720
20251125,000050,KR7000050005,경방,KOSPI,6950,-10,-.14,6980,7040,6890,19713,137351570,27415270,190536126500
20251125,000070,KR7000070003,삼양홀딩스,KOSPI,59200,-3600,-5.73,62800,63100,57900,124039,7403300050,7763191,459580907200
20251125,000080,KR7000080002,하이트진로,KOSPI,18580,-170,-.91,18890,18890,18550,218332,4070430435,70133611,1303082492380
20251125,000087,KR7000082008,하이트진로2우B,KOSPI,15310,-40,-.26,15350,15350,15300,2790,42794260,1130138,17302412780
20251125,000100,KR7000100008,유한양행,KOSPI,114500,-700,-.61,116200,117500,114200,266686,30780020350,79968437,9156386036500
20251125,000105,KR7000101006,유한양행우,KOSPI,103600,300,.29,103500,104900,103000,2379,246784600,1180940,122345384000
20251125,000120,KR7000120006,CJ대한통운,KOSPI,92700,-300,-.32,93500,93900,92100,31129,2888129500,22812344,2114704288800
