basDt,srtnCd,isinCd,itmsNm,mrktCtg,clpr,vs,fltRt,mkp,hipr,lopr,trqu,trPrc,lstgStCnt,mrktTotAmt
20251125,005930,KR7005930003,삼성전자,KOSPI,99300,2600,2.69,101400,101400,97800,16110054,1602730841700,5919637922,587820045654600
20251125,000660,KR7000660001,SK하이닉스,KOSPI,519000,-1000,-0.19,546000,550000,518000,3716730,1969198513548,728002365,377833227435000
20251125,373220,KR7373220003,LG에너지솔루션,KOSPI,413500,1500,0.36,419500,419500,412000,240842,99952258500,234000000,96759000000000
20251125,207940,KR7207940008,삼성바이오로직스,KOSPI,1627000,-162000,-9.06,1812000,1812000,1586000,224828,370227006000,46290951,75315377277000
20251125,005935,KR7005931001,삼성전자우,KOSPI,74900,2300,3.17,75500,75600,73800,2501268,187207163250,815974664,61116502333600
20251125,005380,KR7005380001,현대차,KOSPI,257500,0,0.0,261000,262000,256500,390393,101167646500,204757766,52725124745000
20251125,329180,KR7329180004,HD현대중공업,KOSPI,548000,-4000,-0.72,570000,571000,541000,187975,103451840000,88773116,48647667568000
20251125,034020,KR7034020008,두산에너빌리티,KOSPI,73500,1000,1.38,74500,75300,72800,2759653,204203996250,640561146,47081244231000
20251125,105560,KR7105560007,KB금융,KOSPI,121700,1400,1.16,122500,124300,120400,878115,107372422450,381462103,46423937935100
20251125,012450,KR7012450003,한화에어로스페이스,KOSPI,859000,4000,0.47,868000,877000,850000,121366,104622364500,51563401,44292961459000
20251125,000270,KR7000270009,기아,KOSPI,111200,100,0.09,112200,113200,111000,632037,70720139650,393789270,43789366824000
20251125,068270,KR7068270008,셀트리온,KOSPI,182500,400,0.22,183600,187600,182300,466759,86056801100,230960969,42150376842500
20251125,035420,KR7035420009,NAVER,KOSPI,253000,-8000,-3.07,262500,262500,250500,1218659,310292775250,156852638,39683717414000
20251125,028260,KR7028260008,삼성물산,KOSPI,228500,10500,4.82,225000,230500,223500,468197,106179635500,169976544,38839640304000
20251125,402340,KR7402340004,SK스퀘어,KOSPI,290500,14500,5.25,293500,305000,289000,710228,209312737120,132540858,38503119249000
20251125,055550,KR7055550008,신한지주,KOSPI,77500,1200,1.57,77500,79000,77100,956374,74376815750,485494934,37625857385000
20251125,042660,KR7042660001,한화오션,KOSPI,113000,-5800,-4.88,120000,121100,112200,1722922,198076171500,306413394,34624713522000
20251125,015760,KR7015760002,한국전력,KOSPI,51500,3300,6.85,49300,51900,48650,9230819,465687359500,641964077,33061149965500
20251125,009540,KR7009540006,HD한국조선해양,KOSPI,420000,-14000,-3.23,439500,444000,420000,197185,83799272250,70773116,29724708720000
20251125,032830,KR7032830002,삼성생명,KOSPI,146700,1900,1.31,149100,150400,145400,191417,28112534550,200000000,29340000000000
20251125,267260,KR7267260008,HD현대일렉트릭,KOSPI,780000,30000,4.0,774000,798000,771000,148760,116630733000,36047135,28116765300000
20251125,051910,KR7051910008,LG화학,KOSPI,363000,4500,1.26,365000,369000,359500,251051,91311820000,70592343,25625020509000
20251125,000810,KR7000810002,삼성화재,KOSPI,473000,0,0.0,479000,489000,469500,49760,23683518500,46011155,21763276315000
20251125,316140,KR7316140003,우리금융지주,KOSPI,25750,-50,-0.19,25800,26300,25650,1219820,31549141775,734076320,18902465240000
20251125,011200,KR7011200003,HMM,KOSPI,18710,50,0.27,18850,18950,18660,699300,13134664625,943237970,17647982418700
20251125,267250,KR7267250009,HD현대,KOSPI,202500,2000,1.0,205000,208000,201500,143048,29128318000,78993085,15996099712500
20251125,030200,KR7030200000,KT,KOSPI,49850,-250,-0.5,50000,50300,49500,209771,10477363881,252021685,12563280997250
20251125,259960,KR7259960003,크래프톤,KOSPI,255000,0,0.0,255500,257000,253000,65335,16657772000,47393856,12085433280000
20251125,086280,KR7086280005,현대글로비스,KOSPI,160000,1600,1.01,159900,161750,158500,82121,13140854050,75000000,12000000000000
20251125,352820,KR7352820005,하이브,KOSPI,280500,-9500,-3.28,291000,291500,277000,290393,81735106250,42560114,11938111977000
20251125,042700,KR7042700005,한미반도체,KOSPI,120100,500,0.42,122100,122700,117200,991214,118423780450,95312200,11446995220000
20251125,323410,KR7323410001,카카오뱅크,KOSPI,21150,-450,-2.08,21700,21800,21000,702246,14954828225,476990437,10088347742550
20251125,298380,KR7298380007,에이비엘바이오,KOSDAQ,166000,-7100,-4.1,173600,176400,165000,1031190,174958319700,55125165,9150777390000
20251125,071050,KR7071050009,한국금융지주,KOSPI,154600,-1600,-1.02,160100,160300,153000,170964,26764951700,55725992,8615238363200
20251125,087010,KR7087010005,펩트론,KOSDAQ,318500,5500,1.76,313500,328500,311000,254757,81468089500,23317350,7426575975000
20251125,016360,KR7016360000,삼성증권,KOSPI,77600,-1700,-2.14,80100,80100,77100,258089,20213635500,89300000,6929680000000
20251125,021240,KR7021240007,코웨이,KOSPI,89000,3300,3.85,85700,89500,85700,213187,18727050850,71909133,6399912837000
20251125,141080,KR7141080002,리가켐바이오,KOSDAQ,172900,1300,0.76,171600,178000,170200,346229,60422216400,36610338,6329927440200
20251125,034220,KR7034220004,LG디스플레이,KOSPI,12230,10,0.08,12370,12430,12130,1202464,14741918440,500000000,6115000000000
20251125,128940,KR7128940004,한미약품,KOSPI,444500,-1500,-0.34,450000,460500,441500,72199,32446965000,12810991,5694485499500
20251125,950160,KR8840120008,코오롱티슈진,KOSDAQ,62800,-1600,-2.48,64000,66700,62300,796594,50939944850,83221265,5226295442000
20251125,175330,KR7175330000,JB금융지주,KOSPI,23750,650,2.81,23300,24000,23300,434949,10281318150,189884601,4509759273750
20251125,051900,KR7051900009,LG생활건강,KOSPI,282500,-6500,-2.25,290000,291500,281000,56782,16118908000,15302459,4322944667500
20251125,031210,KR7031210008,서울보증보험,KOSPI,48450,-100,-0.21,49000,49950,48350,43862,2142099700,69821598,3382856423100
20251125,012510,KR7012510004,더존비즈온,KOSPI,92200,200,0.22,92000,94000,91200,118294,10924418000,30382784,2801292684800
20251125,108490,KR7108490004,로보티즈,KOSDAQ,195000,-11500,-5.57,210000,210500,195000,464935,93262069550,13220560,2578009200000
20251125,002790,KR7002790004,아모레퍼시픽홀딩스,KOSPI,28700,-1000,-3.37,30050,30300,28600,177330,5157050950,79458180,2280449766000
20251125,009420,KR7009420001,한올바이오파마,KOSPI,42650,-1800,-4.05,43900,44450,42400,426092,18434841750,52240638,2228063210700
20251125,462870,KR7462870007,시프트업,KOSPI,36200,-550,-1.5,36950,37000,35900,35109,1275497975,58961440,2134404128000
20251125,140410,KR7140410002,메지온,KOSDAQ,64900,-4600,-6.62,69200,70400,64700,145430,9768488400,30363914,1970618018600
20251125,028670,KR7028670008,팬오션,KOSPI,3670,5,0.14,3700,3710,3655,626579,2308551780,534569512,1961870109040
20251125,192820,KR7192820009,코스맥스,KOSPI,161200,-4400,-2.66,167500,167600,160000,57156,9321877200,11349509,1829540850800
20251125,067310,KR7067310003,하나마이크론,KOSDAQ,24900,1500,6.41,24600,25400,24200,2213567,54877956325,66373651,1652703909900
20251125,007310,KR7007310006,오뚜기,KOSPI,384000,-3500,-0.9,388500,388500,382500,5876,2260564750,4007830,1539006720000
20251125,457190,KR7457190007,이수스페셜티케미컬,KOSPI,49000,-550,-1.11,50600,51100,48700,113413,5631167075,30208280,1480205720000
20251125,317450,KR7317450005,명인제약,KOSPI,67500,-1800,-2.6,69900,70500,67500,70607,4822078350,14600000,985500000000
20251125,001430,KR7001430008,세아베스틸지주,KOSPI,26900,550,2.09,27100,27350,26450,52499,1413932000,35862119,964691001100
20251125,437730,KR7437730005,삼현,KOSDAQ,27950,0,0.0,28800,30700,27850,958770,27977004100,31707567,886226497650
20251125,114090,KR7114090004,GKL,KOSPI,14100,-650,-4.41,14760,14880,14050,360441,5157778590,61855670,872164947000
20251125,056190,KR7056190002,에스에프에이,KOSDAQ,21300,1050,5.19,20550,21400,20500,86233,1815001250,35908760,764856588000
20251125,241710,KR7241710003,코스메카코리아,KOSDAQ,70700,-400,-0.56,71900,72500,70200,41003,2911339000,10680000,755076000000
20251125,069260,KR7069260008,TKG휴켐스,KOSPI,18200,280,1.56,17990,18220,17960,47665,862104570,40878588,743990301600
20251125,214320,KR7214320004,이노션,KOSPI,18200,370,2.08,17910,18250,17810,229445,4164034335,40000000,728000000000
20251125,003470,KR7003470002,유안타증권,KOSPI,3635,-30,-0.82,3690,3715,3600,357348,1299343791,199596576,725533553760
20251125,036810,KR7036810000,에프에스티,KOSDAQ,27800,300,1.09,28600,29150,27550,177871,4987875500,21956348,610386474400
20251125,090460,KR7090460007,비에이치,KOSPI,16230,330,2.08,16000,16460,16000,152038,2471403170,33711538,547138261740
20251125,145990,KR7145990008,삼양사,KOSPI,50400,-500,-0.98,50900,51400,50200,8098,409699450,10313449,519797829600
20251125,025320,KR7025320003,시노펙스,KOSDAQ,5800,-10,-0.17,5900,5950,5730,271529,1591426860,87733546,508854566800
20251125,003300,KR7003300001,한일홀딩스,KOSPI,16180,-220,-1.34,16400,16450,16150,7044,114573030,30832884,498876063120
20251125,015750,KR7015750003,성우하이텍,KOSDAQ,6180,30,0.49,6280,6310,6100,338209,2095035400,80000000,494400000000
20251125,035890,KR7035890003,서희건설,KOSDAQ,1623,0,0.0,0,0,0,0,0,229808457,372979125711
20251125,009155,KR7009151002,삼성전기우,KOSPI,106900,5100,5.01,108000,108500,105600,55870,5992033050,2906984,310756589600
20251125,001130,KR7001130004,대한제분,KOSPI,139400,0,0.0,139700,140300,138300,1418,197171350,1690000,235586000000
20251125,041020,KR7041020009,폴라리스오피스,KOSDAQ,4690,35,0.75,4690,4790,4650,208846,984110795,49725498,233212585620
20251125,054540,KR7054540000,삼영엠텍,KOSDAQ,13400,-390,-2.83,13790,14010,13180,625933,8433171995,13000000,174200000000
20251125,090350,KR7090350000,노루페인트,KOSPI,8100,40,0.5,8060,8170,8030,20438,165123310,20000000,162000000000
20251125,060590,KR7060590007,씨티씨바이오,KOSDAQ,4875,25,0.52,4805,5010,4805,43881,216497953,24181020,117882472500
20251125,255440,KR7255440000,야스,KOSDAQ,8050,50,0.63,8290,8290,7925,9843,78855125,13058000,105116900000
20251125,124560,KR7124560004,태웅로직스,KOSDAQ,2670,-50,-1.84,2720,2745,2670,94504,254054568,38720811,103384565370
20251125,365270,KR7365270008,큐라클,KOSDAQ,4780,30,0.63,4750,4935,4740,110617,531069634,21009155,100423760900
20251125,010040,KR7010040004,한국내화,KOSPI,2000,-35,-1.72,2025,2045,2000,26251,52804660,41067062,82134124000
20251125,054040,KR7054040001,한국컴퓨터,KOSDAQ,5000,25,0.5,4930,5000,4880,58480,288503825,16071290,80356450000
20251125,347000,KR7347000002,센코,KOSDAQ,2075,0,0.0,2075,2105,2045,52179,108310585,37810846,78457505450
20251125,450330,KR7450330006,하스,KOSDAQ,6960,1000,16.78,5970,7740,5970,3630443,26738557975,8186843,56980427280
20251125,024840,KR7024840001,KBI메탈,KOSDAQ,1630,-16,-0.97,1661,1679,1620,152606,250251879,34909199,56901994370
20251125,005305,KR7005301007,롯데칠성우,KOSPI,68300,-700,-1.01,69100,69100,67900,966,65969300,775310,52953673000
20251125,003310,KR7003310000,대주산업,KOSDAQ,1483,-9,-0.6,1495,1499,1482,86452,128511284,35392350,52486855050
20251125,118000,KR7118000009,메타케어,KOSPI,302,-4,-1.31,306,306,299,376519,113400204,171777364,51876763928
20251125,020760,KR7020760005,일진디스플,KOSPI,902,0,0.0,0,0,0,0,0,51513741,46465394382
20251125,122350,KR7122350002,삼기,KOSDAQ,1211,5,0.41,1207,1234,1200,152406,184331968,38339428,46429047308
20251125,356890,KR7356890004,싸이버원,KOSDAQ,3845,-15,-0.39,3860,3980,3810,215868,833094827,11953825,45962457125
