연번,과제명,사업명,공고명,세부공고명,사업년도,주관기관,관리기관,전문기관,산업기술분류
1,언어분석모형 기반 상품 추천 알고리즘을 포함한 다국적 관광객의 여행 경험 공유를 위한 LBS 관광 서비스 개발,지역특화산업육성+(R&D)(제주),2024년 지역특화산업육성+(R&D)(제주)-지역주력산업육성 지원계획 통합공고,2024년 지역특화산업육성+(R&D)(제주)-지역주력산업육성 지원계획 통합공고,2024 ,주식회사 고은,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>SW솔루션
2,제조현장 안전 지원을 위한 설비 고도화 기술,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,(주)감소프트,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>SW솔루션
3,중소기업을 위한 저비용 이종 설비 간 연동 및 지능화 기술개발.,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,주식회사 이프,중소기업기술정보진흥원,중소기업기술정보진흥원,전기ㆍ전자>중전 기기>자동화제어기기
4,섬유산업 염색기술 노하우 DB화 및 AI 학습을 통한 색상 오류 자동 보정 기능을 적용한 생산성 향상 플랫폼 개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,트리니티디아이비(주),중소기업기술정보진흥원,중소기업기술정보진흥원,기계ㆍ소재>산업/일반 기계>산업/일반기계관련 S/W
5,엣지 AI(비전) 기반 생산.재고 관리 및 생산 최적화 시스템개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,아와소프트,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>SW솔루션
6,AI 적용 적층 공정검사기반 적층제조 펙토리 솔루션 기술개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,씨와이오토텍,중소기업기술정보진흥원,중소기업기술정보진흥원,기계ㆍ소재>정밀생산기계>광 에너지 응용 가공기계
7,"파이프 양단면 플랜지 GMAW 자동, 연속 용접시스템 개발",스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,다울피피티,중소기업기술정보진흥원,중소기업기술정보진흥원,기계ㆍ소재>로봇/자동화기계>로봇 제어 및 지능화기술
8,AI 기반 설비.공정 모니터링 및 건전성 예측진단 통합 시스템 기술 개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,주식회사 아이티공간,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>SW솔루션
9,AI 기반 이미지 증강 및 객체 인식을 통한 ATM 모듈 생산 오류 검사장비 개발,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,주식회사 딥비전,중소기업기술정보진흥원,중소기업기술정보진흥원,기계ㆍ소재>산업/일반 기계>산업/일반기계관련 S/W
10,지능형 설비 건전성 예측 진단 기술,스마트 제조혁신 기술개발사업(R&D),2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024년도 스마트 제조혁신 기술개발사업 시행계획 공고,2024 ,주식회사 파이비스,중소기업기술정보진흥원,중소기업기술정보진흥원,정보통신>소프트웨어>SW솔루션
